https://en.wikipedia.org/wiki/List_of_railway_stations_in_India
Abada 	ABB 	West Bengal 	SER/South Eastern 	7 m 	[1]
Argora 	AOR 	Jharkhand 	SER/South Eastern 	654 m 	[2]
Abhaipur 	AHA 	Bihar 	ER/Eastern 	44 m 	[3]
A N Dev Nagar 	ACND 	Punjab 	Not Known 	Not Known 	
Abhayapuri 	AYU 	Assam 	NFR/Northeast Frontier 	45 m 	[4]
Abohar 	ABS 	Punjab 	NR/Northern 	186 m 	[5]
Abu Road 	ABR 	Rajasthan 	NWR/North Western 	260 m 	[6]
Acharapakkam 	ACK 	Tamil Nadu 	SR/Southern 	39 m 	[7]
Achalganj 	ACH 	Uttar Pradesh 	NR/Northern 	133 m 	[8]
Achalpur 	ELP 	Maharashtra 	CR/Central 	388 m 	[9]
Achhalda 	ULD 	Uttar Pradesh 	NCR/North Central 	147 m 	[10]
Achhnera Junction 	AH 	Uttar Pradesh 	NCR/North Central 	170 m 	
Adarshnagar 	AHO 	Rajasthan 			
Adarshnagar Delhi 	ANDI 	Delhi 	
Adas Road 	ADD 	Maharashtra 		44 m 	
Adesar 	AAR 	Gujarat 		30 m 	
Adgaon Buzurg 	ABZ 	Maharashtra 	SCR 		
Adilabad 	ADB 	Telangana 		248 m 	
Adipur 	AI 	Gujarat 		36 m 	
Adityapur 	ADTP 	Jharkhand 		153 m 	
Adoni 	AD 	Andhra Pradesh 		420 m 	
Adra Junction 	ADRA 	West Bengal 	ER/Eastern Railway 	190 m 	
Aduturai 	da 	Tamil Nadu 		24 m 	
Agartala 	AGTL 	Tripura 	NFR/North Frontier Railway 	27 m 	
Agas 	AGAS 	Gujarat 		42 m 	
Agasod 	AGD 	Madhya Pradesh 		427 m 	
Ataria 	AA 	Uttar Pradesh 			
Amb Andaura 	AADR 	Himachal Pradesh 			
Angar 	AAG 	Maharastra 			
Angadippuram 	AAM 	Kerala 			
Ambiapur 	AAP 	Uttar Pradesh 			
Ambikeshwar 	ABE 	Madhya Pradesh 			
Arabagatta H 	ABGT 	Karnataka 			
Ambale 	ABLE 	Maharastra 			
Asthal Bohar Junction 	ABO 	Haryana 			
Ambattur 	ABU 	Tamil Nadu 			
Abutara Halt 	ABW 	West Bengal 	ER/Eastern Railway 		
Ambari 	ABX 	Maharastra 			
Ambarnath 	A 	Maharashtra 	CR/Central
Ambivli 	ABY 	Maharastra 	CR/Central 		
Aghwanpur 	AWP 	Uttar Pradesh 			
Agomoni 	AGMN 	Assam 	NFR/Northeast Frontier 	31 m 	[11]
Agori Khas 	AGY 	Uttar Pradesh 		210 m 	
Agra Cantonment 	AGC 	Uttar Pradesh 		174 m 	
Agra City 	AGA 	Uttar Pradesh 		165 m 	
Agra Fort 	AF 	Uttar Pradesh 		170 m 	
Ahalyapur 	AHLR 	Uttar Pradesh 			
Ahmadgarh 	AHH 	Punjab 		252 m 	
Ahmednagar 	ANG 	Maharashtra 	CR/ 	650 m 	
Ahmedpur Junction 	AMP 	West Bengal 	ER/Eastern Railway 	46 m 	
Ahmedabad Junction 	ADI 	Gujarat 		52 m 	
Ahraura Road 	ARW 	Uttar Pradesh 		85 m 	
Airoli 		Maharashtra 	Trans-Harbour (CR)
Aishbagh 	ASH 	Uttar Pradesh 		122 m 	
Ait 	AIT 	Uttar Pradesh 		154 m 	
Aithal 	ATMO 	Uttarakhand 		245 m 	
Ajaibpur 	AJR 	Uttar Pradesh 		206 m 	
Ajanti 	ANI 	Madhya Pradesh 		338 m 	
Ajaraka 	AIA 	Rajasthan 		280 m 	
Ajgain 	AJ 	Uttar Pradesh 		128 m 	
Ajhai 	AJH 	Uttar Pradesh 		184 m 	
Ajit 	AJIT 	Rajasthan 		150 m 	
Ajmer Junction 	AII 	Rajasthan 		464 m 	
Ajni 	AJNI 	Maharashtra 	CR 	310 m 	
Akalkot Road 	AKOR 	Maharashtra 		457 m 	
Akaltara 	AKT 	Chhattisgarh 		284 m 	
Akanapet 	AKE 	Andhra Pradesh 		566 m 	
Akbarganj 	AKJ 	Uttar Pradesh 			
Akbarpur 	ABP 	Uttar Pradesh 		95 m 	
Akividu 	AKVD 	Andhra Pradesh 		5 m 	
Akodia 	AKD 	Madhya Pradesh 		460 m 	
Akola Junction 	AK 	Maharashtra 	CR/Central 	285 m 	
Akolner 	AKR 	Maharashtra 			
Akora 	AKW 	Rajasthan 			
Akot 	AKOT 	Maharashtra 			
Akurdi 	AKRD 	Maharashtra 	CR 		
Alamnagar 	AMG 	Bihar 			
Aler 	ALER 	Telangana 	SCR 		
Algapur 	ALGP 	Assam 	NFR/Northeast Frontier 	25 m 	[12]
Algawan 	AIG 	Uttar Pradesh 			
